date,spy
2018-05-11,254.8048096
2018-05-14,254.926239
2018-05-15,253.1705322
2018-05-16,254.2351685
2018-05-17,254.02034
2018-05-18,253.3852997
2018-05-21,255.2904053
2018-05-22,254.5805969
2018-05-23,255.2809753
2018-05-24,254.7581024
2018-05-25,254.1511383
2018-05-29,251.2280426
2018-05-30,254.5805969
2018-05-31,253.0211334
2018-06-01,255.505188
2018-06-04,256.7192383
2018-06-05,256.9060059
2018-06-06,259.053894
2018-06-07,259.0259094
2018-06-08,259.791687
2018-06-11,260.1371155
2018-06-12,260.4733582
2018-06-13,259.6421509
2018-06-14,260.2958984
2018-06-15,259.9638367
2018-06-18,259.4291687
2018-06-19,258.4348145
2018-06-20,258.8756409
2018-06-21,257.2528992
2018-06-22,257.7219238
2018-06-25,254.2135315
2018-06-26,254.7763519
2018-06-27,252.665741
2018-06-28,254.1103363
2018-06-29,254.4762573
2018-07-02,255.0202179
2018-07-03,254.119751
2018-07-05,256.1928406
2018-07-06,258.3598022
2018-07-09,260.6861267
2018-07-10,261.6242371
2018-07-11,259.7106018
2018-07-12,262.065033
2018-07-13,262.2714539
2018-07-16,262.0369263
2018-07-17,263.0969238
2018-07-18,263.6504211
2018-07-19,262.6560974
2018-07-20,262.355896
2018-07-23,262.8437195
2018-07-24,264.1663513
2018-07-25,266.4176331
2018-07-26,265.7891846
2018-07-27,263.9881287
2018-07-30,262.6091309
2018-07-31,263.9036255
2018-08-01,263.4627991
2018-08-02,264.8980713
2018-08-03,266.0330505
2018-08-06,267.0086975
2018-08-07,267.8903809
2018-08-08,267.777832
2018-08-09,267.4120483
2018-08-10,265.6203308
2018-08-13,264.6260681
2018-08-14,266.3145142
2018-08-15,264.3257751
2018-08-16,266.4646301
2018-08-17,267.4025879
2018-08-20,267.9748535
2018-08-21,268.603302
2018-08-22,268.4438477
2018-08-23,268.0874023
2018-08-24,269.7008972
2018-08-27,271.8302612
2018-08-28,271.9615784
2018-08-29,273.4249878
2018-08-30,272.3180237
2018-08-31,272.3273926
2018-09-04,271.8583679
2018-09-05,271.126709
2018-09-06,270.3106079
2018-09-07,269.7853088
2018-09-10,270.254364
2018-09-11,271.1454773
2018-09-12,271.2110596
2018-09-13,272.8151855
2018-09-14,272.8621216
2018-09-17,271.4174805
2018-09-18,272.8902283
2018-09-19,273.1810608
2018-09-20,275.3948975
2018-09-21,275.1433105
2018-09-24,274.2292175
2018-09-25,273.974823
2018-09-26,273.1550293
2018-09-27,273.9183044
2018-09-28,273.9465332
2018-10-01,274.8982849
2018-10-02,274.7381287
2018-10-03,274.888855
2018-10-04,272.7404175
2018-10-05,271.2138367
2018-10-08,271.2138367
2018-10-09,270.8180847
2018-10-10,262.243103
2018-10-11,256.4667969
