date,price
2010-11-09,97.53263092
2010-11-10,97.92559814
2010-11-11,97.55667114
2010-11-12,96.40176392
2010-11-15,96.26542664
2010-11-16,94.76567841
2010-11-17,94.81381989
2010-11-18,96.20929718
2010-11-19,96.47396851
2010-11-22,96.39376068
2010-11-23,94.9982605
2010-11-24,96.40176392
2010-11-26,95.27896881
2010-11-29,95.56771851
2010-11-30,95.0303421
2010-12-01,97.05140686
2010-12-02,98.29454041
2010-12-03,98.55918884
2010-12-06,98.45493317
2010-12-07,98.51106262
2010-12-08,98.87197113
2010-12-09,99.25696564
2010-12-10,99.83436584
2010-12-13,99.89852142
2010-12-14,99.98678589
2010-12-15,99.52963257
2010-12-16,100.1070709
2010-12-17,100.2142868
2010-12-20,100.4561768
2010-12-21,101.0930939
2010-12-22,101.4075012
2010-12-23,101.2623825
2010-12-27,101.3027039
2010-12-28,101.4478455
2010-12-29,101.5204163
2010-12-30,101.359169
2010-12-31,101.3833542
2011-01-03,102.4314346
2011-01-04,102.3749847
2011-01-05,102.9070969
2011-01-06,102.7055283
2011-01-07,102.5039978
2011-01-10,102.3749847
2011-01-11,102.7377853
2011-01-12,103.6649628
2011-01-13,103.4956741
2011-01-14,104.2454376
2011-01-18,104.4228134
2011-01-19,103.3989105
2011-01-20,103.2618484
2011-01-21,103.4956741
2011-01-24,104.0842209
2011-01-25,104.1406403
2011-01-26,104.5437393
2011-01-27,104.8017426
2011-01-28,102.971611
2011-01-31,103.7455826
2011-02-01,105.4064331
2011-02-02,105.2048645
2011-02-03,105.4386826
2011-02-04,105.7369766
2011-02-07,106.3980865
2011-02-08,106.8818054
2011-02-09,106.6399765
2011-02-10,106.6802979
2011-02-11,107.3171844
2011-02-14,107.5751648
2011-02-15,107.2365417
2011-02-16,107.913765
2011-02-17,108.2362823
2011-02-18,108.4620132
2011-02-22,106.2852097
2011-02-23,105.6321487
2011-02-24,105.5596008
2011-02-25,106.688324
2011-02-28,107.3494263
2011-03-01,105.5596008
2011-03-02,105.7853394
2011-03-03,107.6074066
2011-03-04,106.8011856
2011-03-07,105.9626999
2011-03-08,106.8898849
2011-03-09,106.7367096
2011-03-10,104.7614212
2011-03-11,105.4870224
2011-03-14,104.8501205
2011-03-15,103.6488419
2011-03-16,101.730011
2011-03-17,103.0764008
2011-03-18,103.4513321
2011-03-21,105.0545654
2011-03-22,104.6902008
2011-03-23,104.9898071
2011-03-24,105.9938812
2011-03-25,106.3177643
2011-03-28,106.0586472
2011-03-29,106.7712097
2011-03-30,107.5080948
2011-03-31,107.3623505
2011-04-01,107.8157806
2011-04-04,107.9048309
2011-04-05,107.8886719
2011-04-06,108.2287521
2011-04-07,107.9534531
2011-04-08,107.5809326
2011-04-11,107.2570953
2011-04-12,106.4554367
2011-04-13,106.4473419
2011-04-14,106.5282898
2011-04-15,106.9169617
2011-04-18,105.7185745
2011-04-19,106.325882
2011-04-20,107.7752914
