,Unnamed: 0,date,bull score,bear score
160,160,2017-12-17,0.0,0.285714286
161,161,2017-12-18,0.166666667,0.0
162,162,2017-12-19,0.125,0.125
163,163,2017-12-20,0.076923077,0.384615385
164,164,2017-12-21,0.428571429,0.0
165,165,2017-12-22,0.0,0.0
166,166,2017-12-23,0.333333333,0.0
167,167,2017-12-25,0.0,0.4
168,168,2017-12-26,0.6,0.0
169,169,2017-12-27,0.333333333,0.0
170,170,2017-12-28,0.0,0.0
171,171,2017-12-29,0.0,0.0
172,172,2017-12-30,0.5,0.0
173,173,2017-12-31,0.0,0.0
174,174,2018-01-01,0.0,0.0
175,175,2018-01-02,0.375,0.125
176,176,2018-01-03,0.2,0.0
177,177,2018-01-04,0.0,0.0
178,178,2018-01-05,0.2,0.0
179,179,2018-01-06,0.0,0.0
180,180,2018-01-07,0.0,0.0
181,181,2018-01-08,0.166666667,0.166666667
182,182,2018-01-09,0.1,0.0
183,183,2018-01-10,0.333333333,0.0
184,184,2018-01-11,0.0,0.0
185,185,2018-01-12,0.0,0.125
186,186,2018-01-13,0.25,0.0
187,187,2018-01-14,0.0,0.0
188,188,2018-01-15,0.0,1.0
189,189,2018-01-16,0.5,0.0
190,190,2018-01-17,0.0,0.0
191,191,2018-01-18,0.5,0.166666667
192,192,2018-01-19,0.090909091,0.090909091
193,193,2018-01-20,0.0,0.0
194,194,2018-01-21,0.0,0.0
195,195,2018-01-22,0.2,0.2
196,196,2018-01-23,0.166666667,0.5
197,197,2018-01-24,0.25,0.0
198,198,2018-01-25,0.0,0.0
199,199,2018-01-26,0.166666667,0.333333333
200,200,2018-01-27,0.0,0.0
201,201,2018-01-29,0.4,0.0
202,202,2018-01-30,0.1,0.2
203,203,2018-01-31,0.090909091,0.0
204,204,2018-02-01,0.4,0.0
205,205,2018-02-02,0.0,0.133333333
206,206,2018-02-03,0.0,0.333333333
207,207,2018-02-05,0.0,0.111111111
208,208,2018-02-06,0.2,0.2
209,209,2018-02-07,0.2,0.1
210,210,2018-02-08,0.130434783,0.217391304
211,211,2018-02-09,0.125,0.0
212,212,2018-02-10,0.0,0.0
213,213,2018-02-11,0.2,0.4
214,214,2018-02-12,0.1,0.1
215,215,2018-02-13,0.0,0.0
216,216,2018-02-14,0.2,0.133333333
